memory_model,example_id,sessions,attempts,generated_implicit_pref_tokens,verify_candidate_implicit_pref_tokens,refine_prev_implicit_pref_tokens,generated_plus_verify_plus_refine_tokens,final_session_implicit_pref_tokens_sum
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0029,8,8,213,213,0,426,213
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0025,8,8,126,126,0,252,126
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0028,9,9,228,228,0,456,228
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0020,10,10,156,156,0,312,156
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0031,10,10,120,120,0,240,120
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0045,5,5,116,116,0,232,116
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0021,9,9,210,210,0,420,210
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0030,10,10,149,149,0,298,149
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0022,9,10,207,207,26,440,181
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0036,5,10,213,213,114,540,99
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0015,10,10,184,184,0,368,184
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0042,8,8,122,122,0,244,122
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0046,6,7,185,185,15,385,170
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0048,7,7,161,161,0,322,161
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0044,8,8,84,84,0,168,84
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0040,10,10,81,81,0,162,81
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0041,10,10,263,263,0,526,263
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0049,8,8,105,105,0,210,105
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0047,6,8,199,199,22,420,177
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0050,8,9,119,119,10,248,109
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0062,7,7,143,143,0,286,143
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0055,8,8,221,221,0,442,221
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0059,8,8,150,150,0,300,150
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0058,7,8,232,232,21,485,211
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0051,9,10,160,160,13,333,147
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0056,9,9,223,223,0,446,223
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0052,9,11,285,285,18,588,267
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0072,6,6,96,96,0,192,96
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0068,6,7,165,165,18,348,147
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0063,9,9,99,99,0,198,99
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0060,10,10,239,239,0,478,239
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0054,10,10,222,222,0,444,222
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0078,5,5,155,155,0,310,155
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0065,9,10,225,225,11,461,214
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0066,9,10,239,239,27,505,212
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0075,8,8,220,220,0,440,220
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0071,10,10,249,249,0,498,249
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0073,9,9,312,312,0,624,312
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0076,8,8,131,131,0,262,131
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0074,6,11,134,134,67,335,67
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0080,8,8,128,128,0,256,128
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0070,10,11,314,314,24,652,290
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0082,9,9,358,358,0,716,358
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0086,8,8,220,220,0,440,220
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0083,7,8,272,272,36,580,236
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0084,7,8,118,118,18,254,100
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0092,7,7,144,144,0,288,144
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0081,9,9,293,293,0,586,293
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0095,5,5,61,61,0,122,61
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0093,6,6,118,118,0,236,118
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0089,8,9,207,207,14,428,193
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0087,10,10,94,94,0,188,94
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0090,8,9,114,114,27,255,87
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0096,6,6,103,103,0,206,103
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0079,10,11,164,164,12,340,152
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0091,8,8,173,173,0,346,173
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0085,7,11,111,111,46,268,65
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0100,5,5,105,105,0,210,105
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0088,9,11,168,168,29,365,139
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0098,5,6,115,115,22,252,93
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0104,6,6,75,75,0,150,75
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0094,9,11,243,243,39,525,204
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0114,6,6,120,120,0,240,120
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0115,5,6,129,129,20,278,109
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0103,9,9,196,196,0,392,196
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0113,7,7,153,153,0,306,153
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0107,8,9,193,193,27,413,166
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0099,9,11,137,137,42,316,95
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0112,7,8,155,155,31,341,124
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0108,9,10,128,128,11,267,117
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0116,7,8,125,125,24,274,101
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0117,7,7,138,138,0,276,138
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0110,9,9,157,157,0,314,157
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0120,5,5,192,192,0,384,192
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0102,10,14,186,186,36,408,150
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0127,5,5,90,90,0,180,90
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0109,10,10,304,304,0,608,304
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0105,9,11,208,208,28,444,180
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0124,6,6,79,79,0,158,79
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0097,10,15,342,342,110,794,232
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0122,5,7,157,157,50,364,107
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0111,10,13,111,111,24,246,87
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0119,9,9,281,281,0,562,281
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0118,10,10,240,240,0,480,240
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0130,6,7,167,167,26,360,141
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0135,6,6,54,54,0,108,54
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0128,8,8,103,103,0,206,103
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0131,8,8,83,83,0,166,83
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0138,6,6,116,116,0,232,116
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0133,7,9,302,302,41,645,261
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0134,8,10,129,129,18,276,111
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0132,10,10,194,194,0,388,194
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0146,5,6,72,72,11,155,61
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0140,9,9,139,139,0,278,139
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0126,10,11,199,199,18,416,181
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0139,7,8,205,205,23,433,182
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0144,8,8,116,116,0,232,116
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0137,9,9,291,291,0,582,291
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0148,7,8,178,178,20,376,158
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0143,9,10,255,255,27,537,228
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0153,7,7,94,94,0,188,94
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0136,10,12,239,239,32,510,207
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0154,7,7,67,67,0,134,67
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0160,6,6,88,88,0,176,88
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0152,10,10,96,96,0,192,96
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0164,5,5,79,79,0,158,79
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0158,7,7,153,153,0,306,153
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0149,10,10,258,258,0,516,258
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0161,6,6,128,128,0,256,128
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0145,10,13,296,296,81,673,215
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0142,10,14,241,241,71,553,170
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0147,10,13,183,183,46,412,137
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0150,10,13,198,198,33,429,165
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0168,5,6,110,110,17,237,93
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0165,7,7,222,222,0,444,222
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0169,6,6,206,206,0,412,206
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0170,7,7,157,157,0,314,157
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0166,8,8,199,199,0,398,199
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0171,6,6,104,104,0,208,104
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0155,10,14,264,264,57,585,207
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0162,10,11,299,299,28,626,271
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0173,5,7,88,88,20,196,68
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0172,6,8,141,141,29,311,112
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0163,8,11,211,211,58,480,153
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0174,7,8,149,149,26,324,123
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0156,9,14,310,310,86,706,224
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0180,5,6,115,115,15,245,100
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0177,8,8,187,187,0,374,187
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0182,6,6,86,86,0,172,86
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0189,5,5,134,134,0,268,134
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0181,7,7,199,199,0,398,199
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0175,8,8,90,90,0,180,90
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0186,6,6,152,152,0,304,152
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0176,8,9,281,281,46,608,235
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0187,7,7,75,75,0,150,75
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0178,9,9,222,222,0,444,222
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0183,8,8,236,236,0,472,236
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0198,5,5,55,55,0,110,55
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0194,7,7,174,174,0,348,174
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0196,7,7,161,161,0,322,161
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0197,5,8,103,103,42,248,61
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0190,9,9,170,170,0,340,170
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0179,10,13,262,262,68,592,194
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0203,6,7,175,175,24,374,151
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0192,8,10,236,236,27,499,209
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0202,7,7,152,152,0,304,152
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0193,8,9,157,157,14,328,143
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0184,9,11,194,194,40,428,154
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0200,8,8,176,176,0,352,176
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0204,8,8,132,132,0,264,132
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0206,6,7,155,155,19,329,136
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0195,9,11,164,164,18,346,146
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0199,8,9,181,181,21,383,160
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0207,8,10,158,158,41,357,117
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0201,10,11,200,200,10,410,190
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0205,10,12,158,158,36,352,122
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0211,8,8,172,172,0,344,172
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0215,6,6,133,133,0,266,133
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0214,7,7,146,146,0,292,146
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0224,5,5,58,58,0,116,58
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0213,7,9,202,202,28,432,174
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0210,9,11,293,293,43,629,250
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0222,5,6,154,154,21,329,133
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0216,7,7,209,209,0,418,209
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0227,6,6,105,105,0,210,105
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0220,8,8,116,116,0,232,116
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0218,8,8,188,188,0,376,188
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0231,6,6,137,137,0,274,137
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0221,10,10,204,204,0,408,204
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0228,5,7,139,139,18,296,121
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0234,6,6,132,132,0,264,132
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0226,8,9,145,145,12,302,133
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0212,10,13,233,233,34,500,199
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0233,6,7,149,149,20,318,129
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0238,7,7,146,146,0,292,146
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0223,8,10,179,179,35,393,144
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0217,10,12,222,222,27,471,195
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0239,7,7,124,124,0,248,124
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0219,10,12,252,252,33,537,219
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0236,8,9,297,297,32,626,265
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0230,10,10,220,220,0,440,220
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0243,7,7,110,110,0,220,110
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0240,9,9,166,166,0,332,166
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0255,5,5,110,110,0,220,110
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0246,9,9,234,234,0,468,234
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0241,10,11,293,293,34,620,259
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0260,8,8,112,112,0,224,112
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0249,9,9,171,171,0,342,171
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0254,7,8,211,211,27,449,184
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0252,9,9,193,193,0,386,193
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0250,9,9,149,149,0,298,149
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0261,6,8,100,100,22,222,78
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0256,9,9,207,207,0,414,207
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0258,9,9,258,258,0,516,258
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0244,10,12,281,281,38,600,243
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0247,9,11,190,190,45,425,145
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0251,7,11,153,153,53,359,100
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0262,7,10,231,231,71,533,160
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0268,7,7,201,201,0,402,201
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0267,8,8,250,250,0,500,250
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0242,10,15,212,212,40,464,172
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0270,6,7,186,186,31,403,155
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0266,9,11,145,145,36,326,109
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0272,6,7,115,115,31,261,84
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0273,5,7,152,152,48,352,104
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0282,5,5,131,131,0,262,131
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0274,7,8,205,205,25,435,180
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0276,8,8,117,117,0,234,117
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0284,5,6,84,84,15,183,69
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0279,7,8,169,169,18,356,151
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0278,8,8,128,128,0,256,128
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0291,5,5,112,112,0,224,112
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0283,5,7,147,147,42,336,105
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0271,10,12,255,255,14,524,241
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0290,5,7,195,195,47,437,148
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0280,8,9,130,130,12,272,118
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0293,6,7,126,126,15,267,111
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0277,9,10,241,241,31,513,210
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0281,10,10,257,257,0,514,257
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0298,5,5,100,100,0,200,100
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0286,9,9,138,138,0,276,138
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0294,6,8,180,180,45,405,135
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0285,10,10,340,340,0,680,340
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0295,8,8,137,137,0,274,137
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0302,6,6,210,210,0,420,210
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0296,7,8,145,145,24,314,121
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0297,8,8,232,232,0,464,232
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0305,5,6,74,74,12,160,62
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0292,9,9,255,255,0,510,255
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0308,5,5,111,111,0,222,111
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0306,7,7,178,178,0,356,178
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0307,6,6,147,147,0,294,147
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0300,9,10,134,134,9,277,125
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0317,5,5,95,95,0,190,95
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0304,8,8,208,208,0,416,208
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0310,6,7,82,82,11,175,71
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0303,10,10,188,188,0,376,188
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0319,6,6,124,124,0,248,124
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0309,9,9,216,216,0,432,216
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0315,7,9,76,76,18,170,58
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0320,8,8,229,229,0,458,229
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0313,9,11,185,185,35,405,150
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0314,10,10,207,207,0,414,207
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0321,6,8,200,200,39,439,161
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0330,7,7,161,161,0,322,161
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0318,10,10,320,320,0,640,320
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0331,8,8,193,193,0,386,193
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0325,7,10,119,119,16,254,103
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0329,7,10,185,185,52,422,133
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0327,8,10,230,230,41,501,189
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0322,10,12,208,208,30,446,178
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0323,10,11,229,229,21,479,208
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0326,10,12,228,228,36,492,192
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0332,8,12,213,213,40,466,173
google_gemma-3-12b-it,dev_0004,2,3,54,54,16,124,38
google_gemma-3-12b-it,dev_0037,5,5,131,131,0,262,131
google_gemma-3-12b-it,dev_0038,5,5,120,120,0,240,120
google_gemma-3-12b-it,dev_0036,5,5,128,128,0,256,128
google_gemma-3-12b-it,dev_0008,5,5,162,162,0,324,162
google_gemma-3-12b-it,dev_0035,6,6,150,150,0,300,150
google_gemma-3-12b-it,dev_0003,6,6,154,154,0,308,154
google_gemma-3-12b-it,dev_0014,6,6,149,149,0,298,149
google_gemma-3-12b-it,dev_0009,6,6,162,162,0,324,162
google_gemma-3-12b-it,dev_0032,7,7,158,158,0,316,158
google_gemma-3-12b-it,dev_0027,7,8,192,192,27,411,165
google_gemma-3-12b-it,dev_0029,8,8,219,219,0,438,219
google_gemma-3-12b-it,dev_0031,10,10,250,250,0,500,250
google_gemma-3-12b-it,dev_0021,9,9,230,230,0,460,230
google_gemma-3-12b-it,dev_0028,9,9,247,247,0,494,247
google_gemma-3-12b-it,dev_0020,10,10,284,284,0,568,284
google_gemma-3-12b-it,dev_0045,5,5,110,110,0,220,110
google_gemma-3-12b-it,dev_0039,6,6,165,165,0,330,165
google_gemma-3-12b-it,dev_0022,9,9,249,249,0,498,249
google_gemma-3-12b-it,dev_0025,8,9,238,238,20,496,218
google_gemma-3-12b-it,dev_0030,10,10,281,281,0,562,281
google_gemma-3-12b-it,dev_0015,10,10,307,307,0,614,307
google_gemma-3-12b-it,dev_0047,6,6,194,194,0,388,194
google_gemma-3-12b-it,dev_0046,6,7,175,175,19,369,156
google_gemma-3-12b-it,dev_0048,7,7,176,176,0,352,176
google_gemma-3-12b-it,dev_0040,10,10,203,203,0,406,203
google_gemma-3-12b-it,dev_0042,8,8,220,220,0,440,220
google_gemma-3-12b-it,dev_0044,8,8,231,231,0,462,231
google_gemma-3-12b-it,dev_0049,8,8,192,192,0,384,192
google_gemma-3-12b-it,dev_0041,10,10,285,285,0,570,285
google_gemma-3-12b-it,dev_0055,8,8,219,219,0,438,219
google_gemma-3-12b-it,dev_0050,8,8,220,220,0,440,220
google_gemma-3-12b-it,dev_0058,7,7,209,209,0,418,209
google_gemma-3-12b-it,dev_0051,9,9,219,219,0,438,219
google_gemma-3-12b-it,dev_0062,7,7,192,192,0,384,192
google_gemma-3-12b-it,dev_0059,8,8,222,222,0,444,222
google_gemma-3-12b-it,dev_0056,9,9,261,261,0,522,261
google_gemma-3-12b-it,dev_0068,6,6,173,173,0,346,173
google_gemma-3-12b-it,dev_0052,9,9,259,259,0,518,259
google_gemma-3-12b-it,dev_0072,6,6,143,143,0,286,143
google_gemma-3-12b-it,dev_0054,10,10,247,247,0,494,247
google_gemma-3-12b-it,dev_0063,9,9,214,214,0,428,214
google_gemma-3-12b-it,dev_0060,10,10,264,264,0,528,264
